"name","url"
"Women/Shoes/Dresses","https://en-ae.wadi.com/fashion-women_clothing-dresses/?tracker=hp_nmenu_women_3_clothing_2_dresses_1&ref=navigation"
"Women/Shoes/Tops","https://en-ae.wadi.com/fashion-women_clothing-tops/?tracker=hp_nmenu_women_3_clothing_2_tops_2&ref=navigation"
"Women/Shoes/Skirts","https://en-ae.wadi.com/fashion-women_clothing-skirts/?tracker=hp_nmenu_women_3_clothing_2_skirts_3&ref=navigation"
"Women/Shoes/Jeans","https://en-ae.wadi.com/fashion-women_clothing-jeans/?tracker=hp_nmenu_women_3_clothing_2_jeans_4&ref=navigation"
"Women/Shoes/Shorts","https://en-ae.wadi.com/fashion-women_clothing-shorts/?ref=navigation"
"Women/Shoes/T-shirts & Vests","https://en-ae.wadi.com/fashion-women_clothing-t_shirts_vests/?ref=navigation"
"Women/Shoes/Pants & Leggings","https://en-ae.wadi.com/fashion-women_clothing-pants_leggings/?tracker=hp_nmenu_women_3_clothing_2_leggings_7&ref=navigation"
"Women/Shoes/Club L","https://en-ae.wadi.com/fashion-women_clothing/club_l/?tracker=hp_nmenu_women_3_clothing_2_clubl_7&ref=navigation"
"Women/Shoes/Accessories","https://en-ae.wadi.com/fashion-womens_accessories/?tracker=hp_nmenu_women_3_accessories_3&ref=navigation"
"Women/Shoes/Sunglasses","https://en-ae.wadi.com/fashion-womens_accessories-sunglasses/?tracker=hp_nmenu_women_3_accessories_3_sunglasses_1&ref=navigation"
"Women/Shoes/Watches","https://en-ae.wadi.com/fashion-womens_accessories-watches/?tracker=hp_nmenu_women_3_accessories_3_watches_2&ref=navigation"
"Women/Shoes/Jewellery","https://en-ae.wadi.com/fashion-womens_accessories-jewellery/?tracker=hp_nmenu_women_3_accessories_3_jewellery_3&ref=navigation"
"Women/Shoes/Bags","https://en-ae.wadi.com/fashion-women_bags/?tracker=hp_nmenu_women_3_accessories_3_bags_4&ref=navigation"
"Women/Shoes/Wedding Rings & Bands","https://en-ae.wadi.com/fashion-womens_accessories/breuning--paradiso/?tracker=hp_nmenu_women_3_accessories_3_weddingrings_5&ref=navigation"
"Women/Shoes/DKNY","https://en-ae.wadi.com/fashion-womens_accessories/dkny/?tracker=hp_nmenu_women_3_accessories_3_dkny_7&ref=navigation"
"Women/Shoes/Fragrances","https://en-ae.wadi.com/beauty_health-fragrances-womens_fragrances/?ref=navigation"
"Women/Shoes/Perfumes","https://en-ae.wadi.com/beauty_health-fragrances-womens_fragrances-perfumes/?tracker=hp_nmenu_women_3_fragrances_4_perfumes_1&ref=navigation"
"Women/Shoes/Victoria's Secret","https://en-ae.wadi.com/beauty_health/?&q=victoria%20secret&identifier_promotion&ref=navigation"
"Women/Shoes/Cosmetics","https://en-ae.wadi.com/beauty_health-cosmetics_and_personal_care/?tracker=hp_nmenu_women_3_cosmetics_5&ref=navigation"
"Women/Shoes/Make up","https://en-ae.wadi.com/beauty_health-cosmetics_and_personal_care-make_up/?tracker=hp_nmenu_women_3_cosmetics_5_makeup_4&ref=navigation"
"Women/Shoes/Maybelline","https://en-ae.wadi.com/beauty_health-cosmetics_and_personal_care/maybelline/?tracker=hp_nmenu_women_3_cosmetics_5_maybelline_5&ref=navigation"
"Women/Shoes/Revlon","https://en-ae.wadi.com/beauty_health-cosmetics_and_personal_care/revlon/?tracker=hp_nmenu_women_3_cosmetics_5_revlon_6&ref=navigation"
"Women/Shoes/Eva Garden","https://en-ae.wadi.com/beauty_health-cosmetics_and_personal_care/eva_garden/?tracker=hp_nmenu_women_3_cosmetics_5_eva_7&ref=navigation"
"Women/Shoes/Eye","https://en-ae.wadi.com/beauty_health-cosmetics_and_personal_care/?q=eye&tracker=hp_nmenu_women_3_cosmetics_5_eyes_1&sidentifier=promotion&ref=navigation"
"Women/Shoes/Face","https://en-ae.wadi.com/beauty_health-cosmetics_and_personal_care/?q=face&tracker=hp_nmenu_women_3_cosmetics_5_face_2&sidentifier=promotion&ref=navigation"
"Women/Shoes/Nails","https://en-ae.wadi.com/beauty_health-cosmetics_and_personal_care/?q=nail&tracker=hp_nmenu_women_3_cosmetics_5_nail_3&sidentifier=promotion&ref=navigation"
"Women/Shoes/Personal Care","https://en-ae.wadi.com/electronics-small_appliances-personal_appliances/?tracker=hp_nmenu_women_3_personal_6&ref=navigation"
"Women/Shoes/Hair Care","https://en-ae.wadi.com/beauty_health-cosmetics_and_personal_care-hair_care/?tracker=hp_nmenu_women_3_personal_6_hair_2&sidentifier=promotion&sidentifier=promotion&ref=navigation"
"Women/Shoes/Epilators","https://en-ae.wadi.com/electronics-small_appliances-personal_appliances-epilators/?tracker=hp_nmenu_women_3_personal_6_epilators_3&ref=navigation"
"Women/Shoes/Hair Stylers","https://en-ae.wadi.com/electronics-small_appliances-personal_appliances-hair_stylers/?tracker=hp_nmenu_women_3_personal_6_stylers_4&ref=navigation"
"Women/Shoes/Skin Care","https://en-ae.wadi.com/beauty_health-cosmetics_and_personal_care-skin_care/?tracker=hp_nmenu_women_3_personal_6_skin_1&sidentifier=promotion&ref=navigation"
"Women/Shoes/Braun","https://en-ae.wadi.com/electronics-small_appliances-personal_appliances/braun/?tracker=hp_nmenu_women_3_personal_6_braun_5&ref=navigation"
"Women/Shoes/Olay","https://en-ae.wadi.com/beauty_health-cosmetics_and_personal_care/olay/?tracker=hp_nmenu_women_3_personal_6_olay_6&ref=navigation"
"Women/Shoes/Diva","https://en-ae.wadi.com/beauty_health-cosmetics_and_personal_care/diva/?tracker=hp_nmenu_women_3_personal_6_diva_7&ref=navigation"
"Home & Kitchen/Home Appliances/Home Tools","https://en-ae.wadi.com/home_and_kitchen-home_tools/?tracker=hp_nmenu_home_5_appliances_1_hometools_2&ref=navigation"
"Home & Kitchen/Home Appliances/Irons","https://en-ae.wadi.com/home_and_kitchen-small_appliances-iron/?tracker=hp_nmenu_home_5_appliances_1_iron_3&ref=navigation"
"Home & Kitchen/Home Appliances/Nikai","https://en-ae.wadi.com/home_and_kitchen/nikai/?tracker=hp_nmenu_home_5_appliances_1_nikai_4&ref=navigation"
"Home & Kitchen/Home Appliances/Elekta","https://en-ae.wadi.com/home_and_kitchen/elekta/?tracker=hp_nmenu_home_5_appliances_1_elekta_6&ref=navigation"
"Home & Kitchen/Home Appliances/Small Appliances","https://en-ae.wadi.com/home_and_kitchen-small_appliances/?tracker=hp_nmenu_home_5_smallapliances_2&ref=navigation"
"Home & Kitchen/Home Appliances/Choppers & Blenders","https://en-ae.wadi.com/home_and_kitchen-small_appliances-choppers_and_blenders/?tracker=hp_nmenu_home_5_kitchen_2_blenders_1&ref=navigation"
"Home & Kitchen/Home Appliances/Toaster & Grills","https://en-ae.wadi.com/home_and_kitchen-small_appliances-toasters_and_grills/?tracker=hp_nmenu_home_5_kitchen_2_toasters_2&ref=navigation"
"Home & Kitchen/Home Appliances/Coffee Makers","https://en-ae.wadi.com/home_and_kitchen-small_appliances-coffee_makers/?tracker=hp_nmenu_home_5_kitchen_2_coffee_4&ref=navigation"
"Home & Kitchen/Home Appliances/Juicer,Mixer & Grinders","https://en-ae.wadi.com/home_and_kitchen-small_appliances-juicer_mixers_and_grinders/?tracker=hp_nmenu_home_5_kitchen_2_juicer_7&ref=navigation"
"Home & Kitchen/Home Appliances/Microwaves & Ovens","https://en-ae.wadi.com/home_and_kitchen-small_appliances-microwaves--home_and_kitchen-small_appliances-ovens_and_otgs/?tracker=hp_nmenu_home_5_kitchen_2_microwaves_8&ref=navigation"
"Home & Kitchen/Home Appliances/Food Processors","https://en-ae.wadi.com/home_and_kitchen-small_appliances-food_processors/?tracker=hp_nmenu_home_5_kitchen_2_foodprocessors_9&sidentifier=promotion&ref=navigation"
"Home & Kitchen/Home Appliances/Kitchenware","https://en-ae.wadi.com/home_and_kitchen-kitchenware/?q=kitchenware&tracker=hp_nmenu_home_5_kitchen_2_kitchenware_10&sidentifier=promotion&ref=navigation"
"Home & Kitchen/Home Appliances/Sonashi","https://en-ae.wadi.com/home_and_kitchen/sonashi/?tracker=hp_nmenu_home_5_kitchen_2_sinbo_8&sidentifier=promotion&ref=navigation"
"Home & Kitchen/Home Appliances/Home Decor","https://en-ae.wadi.com/home_and_kitchen-home_decor/?tracker=hp_nmenu_home_5_decor_3&ref=navigation"
"Home & Kitchen/Home Appliances/Lamps & Lightings","https://en-ae.wadi.com/home_and_kitchen-home_decor-lamps_and_lightings/?tracker=hp_nmenu_home_5_decor_3_lamps_1&ref=navigation"
"Home & Kitchen/Home Appliances/Clocks","https://en-ae.wadi.com/home_and_kitchen-home_decor-clocks/?tracker=hp_nmenu_home_5_decor_3_clocks_2&ref=navigation"
"Home & Kitchen/Home Appliances/Collectibles","https://en-ae.wadi.com/home_and_kitchen-home_decor-collectibles/?tracker=hp_nmenu_home_5_collectibles_3_models_3&ref=navigation"
"Home & Kitchen/Home Appliances/Bed Linens","https://en-ae.wadi.com/home_and_kitchen-home_furnishing-bed_linen/?tracker=hp_nmenu_home_5_decor_3_bedlinens_4&ref=navigation"
"Home & Kitchen/Home Appliances/Pillows & Covers","https://en-ae.wadi.com/home_and_kitchen-home_furnishing-pillow_cushion_and_covers/?tracker=hp_nmenu_home_5_decor_3_pillows_5&ref=navigation"
"Home & Kitchen/Home Appliances/Wall Stickers","https://en-ae.wadi.com/home_and_kitchen-home_decor-wall_decor/?tracker=hp_nmenu_home_5_decor_3_walldecor_6&ref=navigation"
"Home & Kitchen/Home Appliances/Just Goot","https://en-ae.wadi.com/home_and_kitchen/just_goot/?tracker=hp_nmenu_home_5_decor_3_goot_7&ref=navigation"
"Toys & Automotive/Automotive/Interior Accessories","https://en-ae.wadi.com/automotive-car_accessories-interior_accessories/?tracker=hp_nmenu_autonsports_6_automotive_1_interior_1&ref=navigation"
"Toys & Automotive/Automotive/Car Audio","https://en-ae.wadi.com/automotive-car_audio_gps/?tracker=hp_nmenu_autonsports_6_automotive_1_audio_3&ref=navigation"
"Toys & Automotive/Automotive/Pioneer","https://en-ae.wadi.com/automotive/pioneer/?tracker=hp_nmenu_autonsports_6_automotive_1_pioneer_4&ref=navigation"
"Toys & Automotive/Automotive/Sports","https://en-ae.wadi.com/beauty_health-sports_health-sports/?tracker=hp_nmenu_autonsports_6_sports_2&ref=navigation"
"Toys & Automotive/Automotive/Boxing","https://en-ae.wadi.com/beauty_health-sports_health-sports/?q=boxing&tracker=hp_nmenu_autonsports_6_sports_2_boxing_1&sidentifier=promotion&ref=navigation"
"Toys & Automotive/Automotive/Adidas","https://en-ae.wadi.com/adidas/?tracker=hp_nmenu_autonsports_6_sports_2_adidas_3&ref=navigation"
"Toys & Automotive/Automotive/Health Devices","https://en-ae.wadi.com/beauty_health-sports_health-health/?tracker=hp_nmenu_autonsports_6_sports_2_adidas_3&ref=navigation"
"Toys & Automotive/Automotive/Fitbit","https://en-ae.wadi.com/electronics-mobiles_tablets-mobile_accessories/fitbit/?tracker=hp_nmenu_autonsports_6_sports_2_adidas_3&ref=navigation"
"Toys & Automotive/Automotive/Toys For Everyone","https://en-ae.wadi.com/toys_kids_and_baby/?tracker=hp_nmenu_kids_4_zone_3&ref=navigation"
"Toys & Automotive/Automotive/Games & Activities","https://en-ae.wadi.com/toys_kids_and_baby-toys_and_activities/?tracker=hp_nmenu_kids_4_care_4_toys_1&ref=navigation"
"Toys & Automotive/Automotive/Ride On & Scooters","https://en-ae.wadi.com/toys_kids_and_baby-toys_and_activities-soft_toys-ride_on_and_scooters/?tracker=hp_nmenu_kids_4_care_4_scooters_2&ref=navigation"
"Toys & Automotive/Automotive/Baby & Toddlers","https://en-ae.wadi.com/toys_kids_and_baby-baby_and_toddlers/?tracker=hp_nmenu_kids_4_care_4_toddlers_3&ref=navigation"
"Toys & Automotive/Automotive/Activity Sets","https://en-ae.wadi.com/toys_kids_and_baby-toys_and_activities-board_games-activity_sets/?tracker=hp_nmenu_kids_4_care_4_activity_5&ref=navigation"
